,CL:0000037,CL:0000057,CL:0000084,CL:0000097,CL:0000158,CL:0000186,CL:0000236,CL:0000451,CL:0000499,CL:0000583,CL:0000623,CL:0000624,CL:0000625,CL:0000786,CL:0000860,CL:0000861,CL:0000875,CL:0000990,CL:0002062,CL:0002063,CL:0002138,CL:0002144,CL:0002145,CL:0002399,CL:0002480,CL:0002543,CL:0002632,CL:0002633,CL:0005012,CL:0009089,CL:0010003,CL:0019003,CL:0019019,CL:1000223,CL:1000312,CL:1001568,CL:1001603,CL:2000093,CL:4028004,CL:4028006,CL:0000077,CL:0000192,CL:0000622,CL:0000784,CL:0005006,CL:0019001,CL:4030023,CL:0000313,CL:0002075,CL:0000319
CL:0000037,0.0,0.6508094878454019,0.2583236365782263,0.27734127661832475,0.45666993975771913,0.6137727023782579,0.2136489020148128,0.2508433044099126,0.6354840770238523,0.46697409870174234,0.365258974163707,0.21872782122913736,0.32017780985443894,0.2462857772635799,0.4656731455326718,0.3635851855359513,0.3514938505958373,0.2834935649928391,0.5324730044873234,0.4641394099077577,0.502642994915746,0.5561894259700684,0.5989333465766619,0.3212345005698676,0.49624419917021556,0.659660456922446,0.5404033425037341,0.38019213440210287,0.5594999273961928,0.589330138189574,0.4759366029311237,0.5187203499242794,0.6288982026105145,0.296984912296629,0.5522138011291173,0.6488117018897114,0.3413615866674067,0.748082131074578,0.6940283313349295,0.7030332312562737,0.6051755996134326,0.6621563905204522,0.4586487562862964,0.20519035478876793,0.26993153182158625,0.4697579715800598,0.3533545635059655,0.5252684961269137,0.24793345172542133,0.5468600174328391
CL:0000057,0.710530052852239,0.0,0.7444638977986412,0.7500297946807254,0.7771386490680278,0.3351446798608159,0.7388110762393275,0.7157214916389838,0.5889991285362219,0.7277576129801469,0.7833087236940798,0.7396571152856389,0.7569875273021968,0.7593826919283997,0.7453688663331607,0.683265142800427,0.6981065581891334,0.7228674500653961,0.802612683245903,0.8125222971802991,0.6360895189096316,0.6999672325805587,0.8457582596713668,0.7131928735318995,0.7450285468872305,0.6615432363876298,0.7958976446799335,0.714321727233984,0.8151131022911814,0.5170968294350822,0.7836634910187629,0.7719172657856639,0.4840495683469976,0.6504192840823773,0.7779450777761969,0.6753832571949283,0.6909732673256037,0.2880155354133503,0.32503608858326566,0.26646504702335666,0.39980970708218455,0.47850684259744736,0.7886637032307727,0.8545923582719547,0.7532787109787648,0.8321954381148248,0.7717003938965805,,0.774030380084197,0.7907839633199819
CL:0000077,0.5749161728063632,0.328098209747208,0.6250000015751872,0.6586413869634434,0.5850138407848566,0.3681097341459663,0.6007915712551105,0.5830498591659414,0.5063469517405317,0.6182250371441539,0.7119041016546255,0.618331164903663,0.6674818822694549,0.5859280926315554,0.6302752927799514,0.5997239162568713,0.5747385296910827,0.5821571198538352,0.5931652034021905,0.6253608646918039,0.4941081143655085,0.5920006214053517,0.6818560000747119,0.5917963555740166,0.5845777064482758,0.554774873680182,0.574754409354794,0.4709889295001922,0.6635453322022355,0.4199189920770422,0.5652082009185035,0.6069725685476443,0.4428886510212903,0.4697565675215969,0.601444159948581,0.559962220035068,0.5531154374759811,0.42225210689919657,0.421440367150101,0.42915970162834177,0.0,0.4834510697348479,0.5191146147839557,0.5990435283834111,0.45883713224377404,0.5423782423171323,0.4665716860658683,,0.5242014946934476,0.546531153335996
CL:0000084,0.266975303756343,0.7122606063357851,0.0,0.3269027658563734,0.5756540963605646,0.6628024495447344,0.23963007679070597,0.30617354329722085,0.671043481086978,0.5107605249658046,0.24767386951452847,0.14979909496892074,0.16636085153333136,0.29954307332943053,0.5406394707850353,0.4637022065668429,0.4299524380217872,0.360557766149519,0.5872374447015882,0.5682798660986175,0.5866864580046317,0.6074098539654044,0.6751115797863093,0.40128021642696443,0.6184545651165365,0.6794053665404353,0.6327845667058404,0.5193259280460188,0.642548795009083,0.6560489653899307,0.5748710400571319,0.6443294115844327,0.6606538606450141,0.44542871662189787,0.6481063699993944,0.7011108664961909,0.43415705101185026,0.733533623495757,0.7547684783923229,0.7482417286217538,0.7026745112892862,0.725900103688609,0.5805581178569384,0.24225534581121788,0.4587845331297608,0.5401103243582233,0.5496979834996708,0.588378353606745,0.46420435304761637,0.6727603473918607
CL:0000097,0.2905601779191296,0.7272159659263746,0.32865452855075233,0.0,0.5353831152315023,0.6483032617693301,0.31364629149843476,0.36444823067006116,0.6697101855565732,0.5418751231998251,0.38013937931760505,0.2553246801279973,0.3316410831157482,0.3296968173126164,0.5305604873087629,0.4376867023552597,0.44048704680798734,0.4180022010139217,0.5654008921971498,0.512630911696034,0.5359887721261406,0.6324950094769278,0.7275702030308298,0.42523658769474887,0.5544492371865263,0.6278484237061497,0.6095291613150353,0.4620908242861471,0.6714685356942853,0.6603160894107817,0.6000973877675926,0.6379302566176497,0.6482131799136484,0.38004770570373175,0.6325793061763008,0.7180665175576978,0.4445454810982929,0.663176280679841,0.7398012793014281,0.7047499589725604,0.7458071034526036,0.695452331185071,0.5515094599645955,0.3481443582142789,0.36638342106468774,0.5642632107785145,0.49181468577415177,0.5149456890558082,0.2992840741129926,0.6038803450799156
CL:0000158,0.4823019817324712,0.7554173592837233,0.6035932331776587,0.5662802830511063,0.0,0.7456804034043591,0.5519211589323537,0.620364434314379,0.760794873434958,0.6552084592441834,0.6090764655689049,0.5515844208599304,0.5725012546563709,0.5630519286987018,0.6806327053793334,0.6073206522210945,0.6506412468313229,0.635321553367401,0.511855535724774,0.47305415215780705,0.6234785048226253,0.7196430327692313,0.6109852453166432,0.6532805813616303,0.26519356170927944,0.6765134671891615,0.2761221166694928,0.35669181369799813,0.5503057319160175,0.7410111106499775,0.40412276614300946,0.30677248753643327,0.7518862419384515,0.4484794373515165,0.29427828069176953,0.7670134627858826,0.6589476672577069,0.7822032061635439,0.7976032643038976,0.7085789938483488,0.689998929183876,0.8346664132917168,0.27460045153556867,0.5771711611272321,0.4345493499043333,0.40949380500507504,0.4279700077966466,0.42968138850858645,0.3258784688030521,0.3492781260064329
CL:0000186,0.6396062690513089,0.32368443053722107,0.6725076696303977,0.6669096602843495,0.71676376580822,0.0,0.6750262659948122,0.6850143637052029,0.34768819782723603,0.7671552626332823,0.7048015284961877,0.6619419505461215,0.6887106313305781,0.6593412574685226,0.7643069694935193,0.737162306483585,0.7198291203629205,0.7043313773801066,0.7007609333308601,0.6954442708977043,0.5093598515030882,0.603836908739543,0.7346741330647465,0.7200597515890089,0.7330594001120982,0.6234386685309065,0.7079387866997481,0.6468043344517638,0.7253818523361247,0.3742359033617071,0.6912483837654406,0.7092825598842634,0.28762681211893093,0.6115565054583657,0.7195549362289984,0.5992313915199138,0.7179390752987309,0.34286935525466006,0.28436053127957206,0.36557036956581407,0.4329824545668071,0.3105578383257026,0.6581276675022861,0.6783371938981416,0.6129845369823745,0.6530667362552386,0.6622573372820716,0.6410283476294568,0.5487002283920884,0.620204600547458
CL:0000192,0.7518312236618286,0.4892053791406272,0.7830380186588389,0.7558846468338204,0.83447203643795,0.32373548274050784,0.7716524690038956,0.7803602315989902,0.20130693484157497,0.8376443555225812,0.8160433048469922,0.7585983593262801,0.7939082898914114,0.7469091289666218,0.8442242487315273,0.8256659083070675,0.8033663116365468,0.800102154149081,0.7806604050558936,0.7936253140853786,0.6083891204505095,0.6891646709508112,0.8193697946587067,0.8073650172737238,0.8265303601914755,0.6795002170116452,0.833954418272537,0.7477308957318319,0.792906858117711,0.27957985141277875,0.7890889413118477,0.8399994946355973,0.18454403239243933,0.6888537421447307,0.8459005325357005,0.6465658586551881,0.8048374551327481,0.484330111902944,0.46211536836227274,0.5245909014463983,0.6036712819312077,0.0,0.7847057451743898,0.7736886524230637,0.6784704013247913,0.789493977656852,0.7414005878447983,0.7139545067575156,0.562605021736791,0.7786324237975286
CL:0000236,0.22227687005631758,0.7033433851454686,0.23756871605090105,0.3181206315080158,0.5298598325509738,0.6662460982514095,0.0,0.1810613063282743,0.6719264855258782,0.4120886293505774,0.40845672123641,0.2569563227408988,0.33070671845427524,0.1943251571501986,0.4646232444903397,0.3168501967637626,0.33419581822761074,0.2272976930541399,0.5211050208927551,0.4737997265994048,0.5083417777797848,0.5956032278144829,0.7129514714290149,0.27702770483604205,0.5717880058873809,0.602940813557197,0.5854938250321495,0.46458551333366593,0.6745723905583518,0.6514137080260362,0.5352174376731774,0.6247543421853403,0.6529151969148019,0.35788200289791333,0.6284948426468205,0.6923873745327777,0.3179392577042629,0.7459802199996838,0.7547848016577083,0.7487240826744418,0.661142112048471,0.7055543700126871,0.5555672474821185,0.10339937392814186,0.4044575715110129,0.5137639282581035,0.4790094545926741,0.5482492057042136,0.4040088187076057,0.6095022036619777
CL:0000313,0.5819981849462236,,0.642740450728323,0.5741224880725729,0.4435947077243692,0.7101066147368115,0.5730197508473986,0.6728151807150481,0.7374343949524103,0.5972917851071955,0.631695571805966,0.5743266821153491,0.5963963726921524,0.6037965108048396,0.7195175558677854,0.612597902350793,0.7005207515192892,0.6613140620914458,0.632945562437271,0.5440136414258407,0.6329656630584344,0.7360433399544887,0.7257580262378854,0.6954180291434446,0.4891929713694253,0.6896256796809326,0.406794612487821,0.5382229909543841,0.6835092493927422,0.6607947121924278,0.5457075972371308,0.4602667006758008,0.7461894455529904,0.5089302086794496,0.47046922500811605,0.7946910752990242,0.7166091206382791,0.8219645157465529,0.6961319399537668,0.777743028372558,,0.6420947604911935,0.2585005852760563,0.6484178910980615,0.5065801518309202,0.1570893178642172,0.5672946312776208,0.0,0.5549148749116417,0.403283267134425
